cocktail_name,alcoholic,category,cocktail_image,cocktail_glass,iba,instructions,ingredient_1_name,ingredient_1_id,ingredient_2_name,ingredient_2_id,ingredient_3_name,ingredient_3_id,ingredient_4_name,ingredient_4_id,ingredient_5_name,ingredient_5_id,ingredient_6_name,ingredient_6_id,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Thai Iced Tea,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Highball glass,,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",Tea,260,Water,274,Condensed milk,86,Ice,145,Mint,186,,null,1/4 cup Thai,1/2 cup boiling,2 tsp sweetened," cubes
",,
Moscow Mule,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Copper Mug,Contemporary Classics,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Vodka,273,Lime juice,171,Ginger ale,127,,null,,null,,null,2 oz,2 oz,8 oz,,,
Fahrenheit 5000,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,Shot glass,,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,Firewater,117,Absolut Peppar,6,Tabasco sauce,259,,null,,null,,null,1/2 oz,1/2 oz,1 dash,,,
Ipamena,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Lime,170,Brown sugar,48,Passion fruit juice,202,Ginger ale,127,Ice,145,,null,½,2 tsp,4 cl,top up with,fill,
Gin Sling,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/h8wmm41504883440.jpg,Old-fashioned glass,,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Gin,125,Lemon,160,Powdered sugar,221,Water,274,Orange peel,196,,null,2 oz,Juice of 1/2,1 tsp,1 tsp,Twist of,
Rum Toddy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Old-fashioned glass,,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Rum,229,Powdered sugar,221,Lemon peel,162,Water,274,,null,,null,2 oz light or dark,2 tsp,1 twist of,2 tsp,,
Homemade Kahlua,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Sugar,254,Corn syrup,88,Coffee,81,Vanilla extract,269,Water,274,Vodka,273,2 1/2 cups,1 cup,1 1/2 oz instant,2 oz,3 cups boiling,1 fifth
110 in the Shade,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Drop shooter in glass. Fill with beer,Lager,159,Tequila,262,,null,,null,,null,,null,16 oz,1.5 oz,,,,
A Splash of Nash,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Cranberry juice,92,Soda water,240,Midori melon liqueur,184,Creme de Banane,96,,null,,null,2 oz,2 oz,0.5 oz,0.5 oz,,
Clover Club,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Unforgettables,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Gin,125,Grenadine,138,Lemon,160,Egg white,111,,null,,null,1 1/2 oz,2 tsp,Juice of 1/2,1,,
Mimosa,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne flute,Contemporary Classics,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Champagne,62,Orange juice,195,,null,,null,,null,,null,Chilled,2 oz,,,,
Midnight Manx,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Old-fashioned glass,,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",Kahlua,153,Bailey's irish cream,30,Goldschlager,130,Heavy cream,141,Coffee,81,,null,1 oz,1 oz,dash,2 oz,2 oz Hazlenut,
Lunch Box,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint glass,,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,Beer,34,Amaretto,12,Orange juice,195,,null,,null,,null,3/4 bottle,1 shot,1 oz,,,
